Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2014,2014,2014,6,1,1,Import,372,Ireland,IRL,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,3587115,3587115,31785948,6
H4,2014,2014,2014,6,1,2,Export,372,Ireland,IRL,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,1169375,1169375,6334258,6
H4,2014,2014,2014,6,1,1,Import,376,Israel,ISR,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,5604612,5604612,49774000,6
H4,2014,2014,2014,6,1,2,Export,376,Israel,ISR,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,139602,139602,1250000,6
H4,2014,2014,2014,6,1,1,Import,381,Italy,ITA,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,11187661,11187661,206051677,0
H4,2014,2014,2014,6,1,2,Export,381,Italy,ITA,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,162046465,162046465,1422574708,0
H4,2014,2014,2014,6,1,3,Re-Export,381,Italy,ITA,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,249955,249955,2551138,0
H4,2014,2014,2014,6,1,4,Re-Import,381,Italy,ITA,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,28077,28077,727585,0
H4,2014,2014,2014,6,1,1,Import,388,Jamaica,JAM,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,34,34,1146,0
H4,2014,2014,2014,6,1,2,Export,388,Jamaica,JAM,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,62378,62378,1795720,0
H4,2014,2014,2014,6,1,3,Re-Export,388,Jamaica,JAM,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,2,2,40,0
H4,2014,2014,2014,6,1,1,Import,392,Japan,JPN,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,7272544,7272544,96422235,0
H4,2014,2014,2014,6,1,2,Export,392,Japan,JPN,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,616946,616946,8307370,0
H4,2014,2014,2014,6,1,1,Import,398,Kazakhstan,KAZ,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,449078,449078,4137942,0
H4,2014,2014,2014,6,1,2,Export,398,Kazakhstan,KAZ,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,1198,1198,13661,0
H4,2014,2014,2014,6,1,1,Import,400,Jordan,JOR,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,576790,576790,4509043,0
H4,2014,2014,2014,6,1,2,Export,400,Jordan,JOR,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,437345,437345,4402804,0
H4,2014,2014,2014,6,1,3,Re-Export,400,Jordan,JOR,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,37951,37951,308858,0
H4,2014,2014,2014,6,1,1,Import,428,Latvia,LVA,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,5010657,5010657,43848817,6
H4,2014,2014,2014,6,1,2,Export,428,Latvia,LVA,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,3680608,3680608,26212467,6
